Designator,Footprint,Quantity,Value,LCSC Part #
"3V1, 3V2, 3V3, 5V1, 5V2, 5V3",SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,6,Jumper_2_Open,
"B+, B-, IN+, IN-, OUT+, OUT-",PinHeader_1x01_P2.54mm_Vertical,6,Conn_01x01_Pin,
"C1, C10, C2, C3, C4, C5, C7, C8, C9",0805,9,10uF,
C11,0805,1,22uF,
"C12, C6",0805,2,0.1uF,
"D1, D3",0603,2,GLED,
D2,0603,1,RLED,
J1,USB_C_Receptacle_GCT_USB4135-GF-A_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_24P,
"L1, L2",L_TracoPower_TCK-047_5.2x5.8mm,2,2.2uH,
R1,0805,1,0.4Ω,
R10,0805,1,2kΩ,
R11,0805,1,100,
R12,0805,1,300kΩ,
R13,0805,1,75kΩ,
"R2, R3, R8",0805,3,1kΩ,
"R4, R6",0805,2,5.1kΩ,
R5,0805,1,1.33kΩ,
R7,0805,1,10kΩ,
R9,0805,1,470Ω,
SW1,PinHeader_1x02_P2.54mm_Vertical,1,SW_DIP_x01,
U1,SOT-583-8,1,TPS2116DRL,
"U2, U4",SOP-8_3.9x4.9mm_P1.27mm,2,~,
U3,SOT-23-6,1,DW01A,
U5,Texas_DRC0010J_ThermalVias,1,TPS63001,
U6,SOT-23-6,1,~,
