Designator,Mid X,Mid Y,Rotation,Layer
B+,61.2,-118.8,0.0,top
B-,61.2,-135.6,0.0,top
C1,80.65,-126.6275,90.0,top
C10,69.2,-129.38,270.0,top
C11,90.525,-133.35,270.0,top
C12,89.25625,-116.58,180.0,top
C2,73.53,-115.51,90.0,top
C3,99.905,-135.41,90.0,top
C4,97.915,-135.42,90.0,top
C5,98.9,-139.2,270.0,top
C6,71.18,-129.37,270.0,top
C7,81.8,-117.3,180.0,top
C8,91.21625,-112.21,270.0,top
C9,93.18625,-112.2075,270.0,top
D1,76.6,-114.3875,90.0,top
D2,82.99,-125.1875,90.0,top
D3,84.79,-125.165,90.0,top
IN+,61.2,-115.2,0.0,top
IN-,61.2,-139.2,0.0,top
J1,62.85,-127.2,270.0,top
L1,94.3,-126.73,0.0,top
L2,83.3,-113.075,270.0,top
ON,99.4,-114.97,0.0,top
OUT+,99.4,-119.9,180.0,top
OUT-,99.4,-123.5,180.0,top
R1,80.08,-131.3175,0.0,top
R10,75.36,-134.52,270.0,top
R11,88.16625,-118.51,180.0,top
R12,94.265,-139.99,180.0,top
R13,91.995,-138.08,0.0,top
R2,78.33,-115.68,270.0,top
R3,82.9,-130.4575,270.0,top
R4,65.03,-119.67,0.0,top
R5,81.57,-140.6875,180.0,top
R6,65.08,-134.75,0.0,top
R7,77.68,-125.16,180.0,top
R8,84.8,-130.4575,270.0,top
R9,74.26,-130.3,180.0,top
U1,75.84,-117.35,0.0,top
U2,83.245,-136.0125,0.0,top
U3,72.6,-133.65,270.0,top
U4,94.21,-133.425,180.0,top
U5,88.28625,-113.3,0.0,top
U6,72.7,-139.15,270.0,top
